name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,recipe
obbattu holige,"maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,Karnataka,South,zADgdhU90TU
palathalikalu,"rice flour, milk",vegetarian,10,25,sweet,dessert,Andhra Pradesh,South,-sf3s2KPw5c
poornalu,"chana dal, jaggery",vegetarian,240,60,sweet,dessert,Andhra Pradesh,South,sLN8A0ehqnE
pongal,"rice, jaggery, cashews, ghee",vegetarian,5,20,sweet,dessert,Tamil Nadu,South,osXQbeC8XSk
pootharekulu,"rice flour, powdered sugar, ghee",vegetarian,10,60,sweet,dessert,Andhra Pradesh,South,FBu7aHLqwMs
qubani ka meetha,"apricots, sugar syrup",vegetarian,10,20,sweet,dessert,Telangana,South,Sw1-0peXNyc
sheer korma,"vermicelli pudding, milk",vegetarian,10,20,sweet,dessert,Telangana,South,VmhsMREDlws
unni appam,"rice flour, banana, jaggery, coconut",vegetarian,10,20,sweet,dessert,Tamil Nadu,South,8hWSspnqPaQ
kajjikaya,"rice flour, jaggery, coconut",vegetarian,40,15,sweet,dessert,Andhra Pradesh,South,ckxI1zUc7VM
anarsa,"rice flour, jaggery, khus-khus seeds",vegetarian,10,50,sweet,dessert,Maharashtra,West,Zla-FSuNxT0
basundi,"sugar, milk, nuts",vegetarian,10,35,sweet,dessert,Gujarat,West,-XhiYyEZsV0
dhondas,"cucumber, rava",vegetarian,10,50,sweet,dessert,Maharashtra,West,n0qaArZ3gF4
doodhpak,"milk, rice, sugar, dry fruits",vegetarian,10,60,sweet,dessert,Gujarat,West,UX2k1R0Eyyc
mahim halwa,"semolina, sugar",vegetarian,10,25,sweet,dessert,Maharashtra,West,S-TRISARw9Q
modak,"rice flour, coconut, jaggery ",vegetarian,10,15,sweet,dessert,Maharashtra,West,KcXhD7vAYmo
shankarpali,"sugar, ghee, maida flour, semolina",vegetarian,10,35,sweet,dessert,Maharashtra,West,8hqufRC0MWo
shrikhand,"curd, sugar, saffron, cardamom",vegetarian,10,720,sweet,dessert,Maharashtra,West,avMwb0H3e8s
sutar feni,"maida, sugar, ghee",vegetarian,15,55,sweet,dessert,Maharashtra,West,A-gxZSEr11g
maach jhol,"fish, potol, tomato, chillies, ginger, garlic",non-vegetarian,10,40,spicy,main course,Assam,North East,CnmSCGj3WJ8
pork bharta,"boiled pork, onions, chillies, ginger and garlic",non-vegetarian,-1,-1,spicy,main course,Tripura,North East,59ImIBEDA5g
chak hao kheer,"rice, milk, sugar, cardamom",vegetarian,240,45,sweet,dessert,Manipur,North East,2bJLL7fJZAE
galho,"rice, axone, salt, water, chillies, pork",non-vegetarian,5,15,spicy,main course,Nagaland,North East,9F7QYFkT1nE
aloo gobi,"cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,Punjab,North,8VWW5xVjEjw
aloo tikki,"rice flour, potato, bread crumbs, garam masala, salt",vegetarian,5,20,spicy,main course,Punjab,North,ipTEYc4xY54
aloo matar,"potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,spicy,main course,Punjab,North,yMnHIXURtF8
aloo methi,"potato, fenugreek leaves, chillies, salt, oil",vegetarian,10,40,bitter,main course,Punjab,North,aih2S55PF2o
aloo shimla mirch,"potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,spicy,main course,Punjab,North,Pi6_y9ShkUI
bhatura,"chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,Punjab,North,zHpWwRx7v9Y
bhindi masala,"ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,spicy,main course,Punjab,North,WAZsKC13MNM
biryani,"chicken thighs, basmati rice, star anise, sweet, green chillies",non-vegetarian,30,120,spicy,main course,Telangana,South,95BCU1n268w
butter chicken,"chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non-vegetarian,10,35,spicy,main course,NCT of Delhi,North,a03U45jFxOI
chana masala,"chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,Punjab,North,aWwt0CTb_vI
chapati,"whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,10,10,other,main course,Maharashtra,West,jD4o_Lmy6bU
chicken razala,"chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non-vegetarian,10,35,spicy,main course,West Bengal,East,I-mAyJvbPS0
chicken tikka masala,"naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non-vegetarian,10,50,spicy,main course,Punjab,North,c2MGcq_m6r4
chicken tikka,"chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non-vegetarian,120,45,spicy,starter,Punjab,North,c2MGcq_m6r4
chole bhature,"chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,Punjab,North,QbyXsYOTJD4
daal baati churma,"moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,spicy,main course,Rajasthan,West,2YIM5-4XIHQ
daal puri,"moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,spicy,main course,West Bengal,East,FaykMsJm31o
dal makhani,"red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,sweet,main course,Punjab,North,JaZYpDp5dN4
dal tadka,"pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,10,30,spicy,main course,Punjab,North,M8JJEsTCs3k
dum aloo,"baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,spicy,main course,Jammu & Kashmir,North,JEyXT0s75ys
poha,"beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,20,30,spicy,snack,Maharashtra,West,VKvwWeVy8Nw
fara,"chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,10,60,spicy,snack,Chhattisgarh,Central,0o0yfIwdcxQ
kachori,"moong dal, rava, garam masala, dough, fennel seeds",vegetarian,30,60,spicy,snack,Uttar Pradesh,North,Rpk4NgAteuM
kadai paneer,"cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,20,30,spicy,main course,Punjab,North,d_h1SIOiIwA
kadhi pakoda,"besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,10,60,spicy,main course,Haryana,North,EPxfnt7jqK4
karela bharta,"bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,20,50,bitter,main course,Punjab,North,SPP_vNEUmpc
khichdi,"moong dal, green peas, ginger, tomato, green chili",vegetarian,40,20,spicy,main course,All State,All Region,s8j6BEuyAzk
kofta,"paneer, potato, cream, corn flour, garam masala",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,c8Lh4vzSQG0
kulfi falooda,"rose syrup, falooda sev, mixed nuts, saffron, sugar",vegetarian,45,25,sweet,dessert,All State,All Region,PVeptPyADNs
lauki ke kofte,"bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,E12OVdZkgsw
lauki ki subji,"bottle gourd, coconut oil, garam masala, ginger, green chillies",vegetarian,10,20,spicy,main course,All State,All Region,GWGCAbVCQQQ
litti chokha,"wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,45,60,spicy,main course,Bihar,North,gu0Ap4crPYY
makki di roti sarson da saag,"palak, makki atta, mustard green, garam masala, ginger",vegetarian,25,30,spicy,main course,Punjab,North,fU5G92KqnLo
misi roti,"whole wheat flour, chickpea flour, green chilies",vegetarian,30,30,spicy,main course,Punjab,North,TZwb1aSfPnk
mushroom do pyaza,"mushroom, malai, garam masala, ginger, capsicum",vegetarian,10,30,spicy,main course,Punjab,North,69bxGa1pgVY
mushroom matar,"canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,10,30,spicy,main course,Punjab,North,Q01yTzAt2_Q
naan,"whole wheat flour, honey, butter, garlic",vegetarian,60,30,other,main course,Punjab,North,e7sUV8nqs3k
navrattan korma,"green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,25,40,spicy,main course,Uttar Pradesh,North,zLWdeav96xI
palak paneer,"cottage cheese, palak, cream, garam masala, butter",vegetarian,20,40,spicy,main course,Punjab,North,z6hCvEKbxms
paneer butter masala,"paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,20,40,spicy,main course,Punjab,North,pjJgCXx_FRk
paneer tikka masala,"paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,20,40,spicy,main course,Punjab,North,XdEf8hV92Fc
pani puri,"kala chana, mashed potato, boondi, sev, lemon",vegetarian,15,2,spicy,snack,All State,All Region,Lno88iU9J4w
panjeeri,"whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",vegetarian,10,25,sweet,dessert,Uttar Pradesh,North,05nFWwA7hLU
papad,"urad dal, sev, lemon juice, chopped tomatoes",vegetarian,5,5,spicy,snack,All State,All Region,6EwCsBvWQiE
paratha,"wheat flour, butter, potato, coriander",vegetarian,15,45,spicy,main course,Punjab,North,cP3RwsJL0Ws
pattor,"arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,30,spicy,main course,Rajasthan,West,47fRmufjdQ4
pindi chana,"fennel, tea bags, tomato, kasuri methi, cinnamon",vegetarian,500,120,spicy,main course,Punjab,North,KADSpikp0vk
rajma chaval,"red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,15,90,spicy,main course,All State,North,IxivHW5uJ8s
rongi,"garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",vegetarian,10,30,other,main course,Punjab,North,9p9-zA2eaVE
samosa,"potatoes, green peas, garam masala, ginger, dough",vegetarian,30,30,spicy,snack,All State,All Region,OPmPHXan1bA
sattu ki roti,"sattu, atta, dough, filling, mustard oil",vegetarian,10,20,spicy,main course,Bihar,North,1zhiWev14i0
shahi paneer,"cottage cheese, malai, garam masala, ginger, tomato",vegetarian,20,40,spicy,main course,Punjab,North,EbpSHiRRK7I
shahi tukra,"rose water, milk, white bread slices, saffron, almonds",vegetarian,10,30,sweet,dessert,Telangana,South,mcxq8zgeqbE
vegetable jalfrezi,"baby corn, french beans, garam masala, ginger, carrot",vegetarian,10,30,spicy,main course,Punjab,North,cnsK3JYI7Fg
tandoori chicken,"greek yogurt, garam masala, kasuri methi, marinade, mustard oil",non-vegetarian,240,30,spicy,main course,Punjab,North,-CKvt1KNU74
tandoori fish tikka,"chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non-vegetarian,240,30,spicy,starter,Punjab,North,i4IyQYpPbeU
attu,"whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,150,25,spicy,snack,Andhra Pradesh,South,Wh2PeFYcVB8
avial,"raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,30,45,spicy,main course,Kerala,South,hscbq8TgqPY
bisi bele bath,"split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,30,45,spicy,main course,Karnataka,South,FGBNUKZM5ns
currivepillai sadam,"chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,5phJ519dXmo
dosa,"chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,360,90,spicy,snack,All State,South,J75VQSxOtdo
idiappam,"rice flour, hot water, grated coconut",vegetarian,120,30,spicy,snack,Tamil Nadu,South,2ACTL7YPHmQ
idli,"split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,360,90,spicy,snack,All State,South,xU5T4oZOcNw
kanji,"carrot, yellow mustard, red chilli, black salt",vegetarian,10,45,other,snack,Kerala,South,J-rOJodCxlg
kaara kozhambu,"sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,yvMH1a6ufhs
keerai kootu,"moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,20,30,spicy,main course,Tamil Nadu,South,XDeJ3Pp5QXI
keerai masiyal,"urad dal, curry leaves, sugar, mustard seeds, spinach",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,tVC2wT7nx7o
keerai sadam,"greens, tomato, mustard seeds, fenugreek seeds",vegetarian,10,20,spicy,main course,Tamil Nadu,South,EoI2n_BCHHE
keerai poriyal,"amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,20,30,spicy,main course,Tamil Nadu,South,A8kYaIcsaEA
beef fry,"beef, coconut, garam masala, curry leaves, green chilies, chili powder",non-vegetarian,10,60,spicy,main course,Kerala,South,cBor2JmZQEo
kootu,"chana dal, urad dal, potato, beans, peas",vegetarian,10,15,spicy,main course,Tamil Nadu,South,hGUtVSBA7go
kos kootu,"moong dal, chana dal, cabbage, tamarind, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,HBk4LQh9rqU
koshambri,"moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,10,20,spicy,main course,Karnataka,South,7DC4WJsa4ZU
kothamali sadam,"chana dal, urad dal, gooseberry, raw rice, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,gigFCLJ1DiU
kuzhakkattai,"sesame oil, raw rice, jaggery, grated coconut",vegetarian,10,90,spicy,main course,Tamil Nadu,South,I7u0cwCc0kk
kuzhambu,"pearl onions, urad dal, drumsticks, tomato, curry leaves",vegetarian,5,30,spicy,main course,Tamil Nadu,South,yvMH1a6ufhs
masala dosa,"chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,360,90,spicy,snack,All State,South,J75VQSxOtdo
pachadi,"coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,10,25,other,main course,All State,South,05bPjAMS02M
paniyaram,"yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,10,20,other,main course,Tamil Nadu,South,zJ4KcIM2Ey8
papadum,"lentils, black pepper, vegetable oil",vegetarian,5,5,spicy,snack,Kerala,South,m3cdFo4yyDw
paravannam,"raw rice,  jaggery, milk",vegetarian,-1,-1,spicy,main course,Kerala,South,b5oI99d90j0
payasam,"rice, cashew nuts, milk, raisins, sugar",vegetarian,15,30,sweet,dessert,All State,South,b5oI99d90j0
paruppu sadam,"arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,10,20,other,main course,Tamil Nadu,South,z8Xsl1QDU1E
pesarattu,"green moong beans, rice flour",vegetarian,120,20,spicy,snack,Andhra Pradesh,South,c0PQz7TF7RQ
poriyal,"chana dal, urad dal, beans, coconut, mustard",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,48QMJ1Zi2uY
puli sadam,"urad dal, lemon, tamarind, cooked rice, curry leaves",vegetarian,10,20,other,main course,Tamil Nadu,South,w83u9rnRZSU
rasam,"tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,10,35,spicy,main course,All State,South,xGibopQ6feQ
puttu,"brown rice flour, sugar, grated coconut",vegetarian,495,40,other,main course,Kerala,South,muSoTCiYJEQ
sambar,"pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,20,45,spicy,main course,All State,South,_rN4Hk9DS5Q
sandige,"thin rice flakes, black sesame seeds, curry leaves",vegetarian,120,60,other,main course,Karnataka,South,GSP2TsPWr6E
sevai,"sevai, parboiled rice, steamer",vegetarian,120,30,other,main course,All State,South,dYLRjOqe5gI
thayir sadam,"urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",vegetarian,10,20,other,main course,Tamil Nadu,South,c6S9skegZ1c
theeyal,"coconut, whole red beans, masala, sesame oil, tamarind",vegetarian,15,20,other,main course,Kerala,South,2vNm4mGH1-Q
uttapam,"chana dal, urad dal, thick poha, tomato, butter",vegetarian,10,20,spicy,snack,All State,South,2IMWlViah88
vada,"urad dal, ginger, curry leaves, green chilies, black pepper",vegetarian,15,20,spicy,snack,All State,South,Zjm9fQBBHiM
chicken varuval,"meat curry powder, chicken chunks, ginger, tomato, cinnamon",non-vegetarian,10,35,spicy,main course,Tamil Nadu,South,gRiBxgShYgg
upma,"chana dal, urad dal, ginger, curry leaves, sugar",vegetarian,10,20,spicy,snack,All State,All Region,KNsC1GIhT0Q
amti,"kala masala, arhar dal, curry leaves, mustard seeds, hot water",vegetarian,10,45,spicy,main course,Maharashtra,West,h2giGfSozbI
zunka,"gram flour, mustard, garlic, turmeric, red chilli",vegetarian,10,25,spicy,main course,Maharashtra,West,VBaV-S9PWjU
kolim jawla,"baingan, fish, coconut oil, fresh coconut, ginger",non-vegetarian,-1,-1,spicy,main course,Maharashtra,West,6Rw-EwocsNQ
saath,"urad dal, potatoes, wheat flour, sooji",vegetarian,20,40,spicy,main course,Gujarat,West,5nJqLs-X3Pg
bajri no rotlo,"wheat flour, pearl millet flour, hot water",vegetarian,10,10,spicy,main course,Gujarat,West,813YbleiMJw
coconut vadi,"condensed milk, mawa, desiccated coconut, almonds, cashews",vegetarian,20,30,sweet,dessert,Maharashtra,West,B3vUrvT-tcM
bhakri,"jowar flour, sesame seeds",vegetarian,20,25,other,main course,Maharashtra,West,NF8X1kwgU5Y
bombil fry,"bombay duck, malvani masala, rice flour, bombay rava, green chilies",non-vegetarian,-1,-1,spicy,main course,Maharashtra,West,a7Bp2VLOZ80
chakali,"rice flour, sesame, plain flour, turmeric, red chilli",vegetarian,10,40,spicy,snack,Maharashtra,West,UKUtHFZDbRI
chevdo,"citric acid, fry, raisins, sugar, chana daal",vegetarian,20,30,spicy,snack,Gujarat,West,u_Gb5Tt3Vck
chorafali,"urad dal, bengal gram flour, dried mango, baking soda, black salt",vegetarian,5,15,spicy,snack,Gujarat,West,W6IBKA975GM
copra paak,"condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",vegetarian,20,30,other,main course,Gujarat,West,B3vUrvT-tcM
daal dhokli,"whole wheat flour, dal, kokum, gur, bengal gram flour",vegetarian,20,30,spicy,main course,Gujarat,West,g3TJmQA5XBg
kutchi dabeli,"pav, aloo, peanut, pomegranate, star anise",vegetarian,30,10,spicy,snack,Gujarat,West,zzPE-zoVzyc
dahi vada,"urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,30,30,other,snack,Maharashtra,West,7FY0xE7pjw0
dalithoy,"arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",vegetarian,5,20,other,main course,Maharashtra,West,btKeeUCqO30
dhokla,"rava, coconut, gram flour, mustard, sesame",vegetarian,10,20,spicy,snack,Gujarat,West,20smULMN0rQ
dudhi halwa,"bottle gourd, green, raisins, sugar, clarified butter",vegetarian,15,30,sweet,dessert,Gujarat,West,NfmuRyt-Aa8
gatta curry,"yogurt, besan, sauce, garam masala powder, gram flour",vegetarian,10,20,spicy,main course,Rajasthan,West,IrFee8crNc4
gud papdi,"wheat flour, jaggery, clarified butter, sliced almonds",vegetarian,10,20,sweet,dessert,Gujarat,West,04MkiR6OPKs
ghooghra,"dry fruits, semolina, all purpose flour",vegetarian,-1,-1,spicy,snack,Gujarat,West,bkVNW0g0_NM
handwo,"bottle gourd, chana dal, cabbage, urad dal, toor dal",vegetarian,20,30,spicy,snack,Gujarat,West,Mfe_Ahq-jps
halvasan,"whole wheat rava, chia seed, lemon, edible gum, litre milk",vegetarian,-1,-1,sweet,dessert,Gujarat,West,QyKYNHCfJXo
jeera aloo,"green chilies, lemon juice, chili powder, boiled potatoes",vegetarian,10,30,spicy,main course,Gujarat,West,bD9L1F8hmtA
kansar,"wheat flour, cashews, rapeseed oil",vegetarian,10,40,other,main course,Gujarat,West,Vx_qDGUS0vw
keri no ras,"mango, sugar",vegetarian,10,10,sour,main course,Gujarat,West,ClQ9Lz61XKs
khakhra,"whole wheat flour, low fat, bengal gram flour",vegetarian,20,40,spicy,snack,Gujarat,West,-FigyACbsGA
khandvi,"green chili paste, white sesame seeds, gram flour, curry leaves, green chili",vegetarian,20,45,spicy,snack,Gujarat,West,ndTp8_1Kdyk
kombdi vade,"rice flour, urad dal, wheat flour, gram flour, turmeric",vegetarian,10,25,spicy,snack,Maharashtra,West,y4h1e0q5jbw
laapsi,"cinnamon, jaggery, clarified butter, dry roasted",vegetarian,10,40,spicy,main course,Madhya Pradesh,Central,Q0GjlYoSjfc
koshimbir,"cucumber, carrot, tomatoes, cilantro",vegetarian,10,10,spicy,main course,Maharashtra,West,FcKoNsVBM-U
methi na gota,"rava, gram flour, lemon juice, turmeric, fenugreek leaves",vegetarian,15,30,bitter,main course,Gujarat,West,4nKfxkbRCOo
mohanthal,"rose water, pistachio, badam, bengal gram flour, saffron",vegetarian,5,45,sweet,dessert,Gujarat,West,tIiqQpNG2VU
muthiya,"bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",vegetarian,15,30,bitter,snack,Gujarat,West,Ft_2LIcvOU8
patra,"arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,40,spicy,snack,Gujarat,West,y6On70lP7Dg
pav bhaji,"pav bhaji masala, gobi, potatoes, green peas, dinner rolls",vegetarian,20,40,spicy,main course,Maharashtra,West,qMAYG-soxhw
puri bhaji,"aloo, urad dal, mustard, ginger, curry leaves",vegetarian,10,30,spicy,main course,Maharashtra,West,mb-wspoc9YI
sabudana khichadi,"raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",vegetarian,70,30,spicy,snack,Maharashtra,West,x2Iov4m_wpk
sev khamani,"khaman, pomegranate, sev, powdered sugar, garlic",vegetarian,20,30,spicy,main course,Gujarat,West,K4MUkiANNjM
sev tameta,"sev, ginger, tomato, sugar",vegetarian,20,30,spicy,main course,Gujarat,West,0jGDZ5AR9Pw
namakpara,"wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",vegetarian,10,35,spicy,snack,Gujarat,West,ZHNIMK0NDDg
sukhdi,"whole wheat flour, gur, clarified butter",vegetarian,10,20,sweet,dessert,Maharashtra,West,04MkiR6OPKs
surnoli,"rice flakes, yogurt, raw rice, jaggery, grated coconut",vegetarian,60,10,spicy,snack,Maharashtra,West,Wbj9PwJ7ioM
